model_family,model_name,training_type,dataset,dataset_name,eval_split,sample_size,accuracy,macro_f1,weighted_f1,status,error_type,error_message,notes,prediction_path,classification_report_path,confusion_matrix_path,validation_macro_f1,max_features,ngram_range,min_df,C,alpha,class_weight,tokenizer
classical,logistic_regression,supervised,LEDGAR,LEDGAR,test,4732,0.9609044801352493,0.9488529750881589,0.9609467215632769,completed,,,"Selected on validation macro-F1. Config={'model_name': 'logistic_regression', 'validation_macro_f1': 0.9557967942376064, 'max_features': 30000, 'ngram_range': '(1, 2)', 'min_df': 1, 'C': 10.0, 'alpha': None, 'class_weight': 'balanced', 'tokenizer': 'negation_aware'}",/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/classical/predictions/logistic_regression_test_predictions.csv,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/classical/classification_reports/logistic_regression_report.json,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/classical/confusion_matrices/logistic_regression_confusion_matrix.png,0.9557967942376064,30000,"(1, 2)",1,10.0,,balanced,negation_aware
classical,linear_svm,supervised,LEDGAR,LEDGAR,test,4732,0.9651310228233305,0.9542374091501298,0.9646902953802567,completed,,,"Selected on validation macro-F1. Config={'model_name': 'linear_svm', 'validation_macro_f1': 0.9578756813496371, 'max_features': 30000, 'ngram_range': '(1, 2)', 'min_df': 1, 'C': 1.0, 'alpha': None, 'class_weight': None, 'tokenizer': 'negation_aware'}",/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/classical/predictions/linear_svm_test_predictions.csv,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/classical/classification_reports/linear_svm_report.json,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/classical/confusion_matrices/linear_svm_confusion_matrix.png,0.9578756813496371,30000,"(1, 2)",1,1.0,,,negation_aware
classical,multinomial_nb,supervised,LEDGAR,LEDGAR,test,4732,0.9344885883347421,0.9149481968543828,0.9345302294145972,completed,,,"Selected on validation macro-F1. Config={'model_name': 'multinomial_nb', 'validation_macro_f1': 0.9239144370671122, 'max_features': 30000, 'ngram_range': '(1, 2)', 'min_df': 1, 'C': None, 'alpha': 0.1, 'class_weight': None, 'tokenizer': 'negation_aware'}",/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/classical/predictions/multinomial_nb_test_predictions.csv,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/classical/classification_reports/multinomial_nb_report.json,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/classical/confusion_matrices/multinomial_nb_confusion_matrix.png,0.9239144370671122,30000,"(1, 2)",1,,0.1,,negation_aware
