loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_macro_f1,eval_weighted_f1,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.37338910906022665,13.3032865524292,1.3337063980600634e-05,1.0,1787,,,,,,,,,,,,
,,,1.0,1787,0.1764824390411377,0.9635974304068522,0.9539288831947934,0.9633031823257309,7.3555,634.898,39.698,,,,,
0.12106968773498705,0.10320864617824554,6.670397313933969e-06,2.0,3574,,,,,,,,,,,,
,,,2.0,3574,0.1570025533437729,0.9678800856531049,0.9597862137891809,0.9676237512209359,7.3974,631.299,39.473,,,,,
0.06935734420631208,22.486286163330078,3.730647267300877e-09,3.0,5361,,,,,,,,,,,,
,,,3.0,5361,0.15825077891349792,0.9693790149892934,0.9619660941130643,0.9693826012584592,7.4633,625.73,39.125,,,,,
,,,3.0,5361,,,,,,,,373.7277,229.475,14.345,1.1284157000742912e+16,0.18793871366717527
