loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_macro_f1,eval_weighted_f1,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.6257847474818131,0.19536660611629486,5.320732251823189e-06,1.0,3574,,,,,,,,,,,,
,,,1.0,3574,0.2191455364227295,0.9571734475374732,0.9447594414103133,0.956762072988205,8.6333,540.926,67.645,,,,,
0.16564075574570683,0.07185512781143188,1.488316713796696e-09,2.0,7148,,,,,,,,,,,,
,,,2.0,7148,0.19555853307247162,0.9610278372591007,0.9511676828184434,0.960942725127922,8.6654,538.925,67.394,,,,,
,,,2.0,7148,,,,,,,,265.0833,215.683,26.965,7576122239262720.0,0.39571275161375996
