loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_macro_f1,eval_weighted_f1,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.4935564020858107,0.11399850994348526,2.7786413803824036e-05,1.0,3574,,,,,,,,,,,,
,,,1.0,3574,0.25657182931900024,0.9533190578158458,0.9405987122511916,0.9537580747719016,5.7864,807.07,100.927,,,,,
0.15489313758546971,0.03662407025694847,7.772423441629101e-09,2.0,7148,,,,,,,,,,,,
,,,2.0,7148,0.2042369395494461,0.9627408993576018,0.9534329588349235,0.9625836374932625,5.7989,805.32,100.708,,,,,
,,,2.0,7148,,,,,,,,223.4896,255.824,31.984,1894030559815680.0,0.3242247698356402
