model_name,seed,status,macro_f1,notes
linear_svm,42,single_seed_available,,Run seed stability script/config on CUDA where needed.
linear_svm,43,pending,,Run seed stability script/config on CUDA where needed.
linear_svm,44,pending,,Run seed stability script/config on CUDA where needed.
distilbert-base-uncased,42,single_seed_available,,Run seed stability script/config on CUDA where needed.
distilbert-base-uncased,43,pending,,Run seed stability script/config on CUDA where needed.
distilbert-base-uncased,44,pending,,Run seed stability script/config on CUDA where needed.
bilstm,42,pending,,Run seed stability script/config on CUDA where needed.
bilstm,43,pending,,Run seed stability script/config on CUDA where needed.
bilstm,44,pending,,Run seed stability script/config on CUDA where needed.
