loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_macro_f1,eval_weighted_f1,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.46471177470970904,13.089028358459473,1.3337063980600634e-05,1.0,1787,,,,,,,,,,,,
,,,1.0,1787,0.2088797390460968,0.9561027837259101,0.9432967960992805,0.955816503637059,4.1143,1135.069,70.972,,,,,
0.1445803821053529,0.3539687991142273,6.670397313933969e-06,2.0,3574,,,,,,,,,,,,
,,,2.0,3574,0.16316325962543488,0.964882226980728,0.9562973423065445,0.9649054314631653,4.0516,1152.618,72.069,,,,,
0.09243880294859576,30.7088680267334,3.730647267300877e-09,3.0,5361,,,,,,,,,,,,
,,,3.0,5361,0.1682521402835846,0.9659528907922912,0.9583599007418577,0.9659354999679587,4.1062,1137.298,71.112,,,,,
,,,3.0,5361,,,,,,,,184.31,465.308,29.087,5682091679447040.0,0.23391031992121922
