loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_macro_f1,eval_weighted_f1,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.625853877395775,0.1946660280227661,5.320732251823189e-06,1.0,3574,,,,,,,,,,,,
,,,1.0,3574,0.21885138750076294,0.9571734475374732,0.9448276282411655,0.9567633251800216,8.2144,568.515,71.095,,,,,
0.16559203350150392,0.07178209722042084,1.488316713796696e-09,2.0,7148,,,,,,,,,,,,
,,,2.0,7148,0.19575530290603638,0.9610278372591007,0.9512044223353406,0.9609208736117056,8.1918,570.082,71.291,,,,,
,,,2.0,7148,,,,,,,,255.4722,223.797,27.98,7576122239262720.0,0.3957229554486395
