loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_macro_f1,eval_weighted_f1,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
1.269810365443131,20.33017921447754,1.5962196755469565e-06,1.0,3574,,,,,,,,,,,,
,,,1.0,3574,0.34052130579948425,0.9419700214132762,0.9232721606416426,0.9404706751192399,5.9031,791.106,98.931,,,,,
0.30274281130867026,1.1327286958694458,4.464950141390088e-10,2.0,7148,,,,,,,,,,,,
,,,2.0,7148,0.24791280925273895,0.9475374732334048,0.9310692137728752,0.9464889012926891,5.9431,785.791,98.266,,,,,
,,,2.0,7148,,,,,,,,231.2776,247.209,30.907,1894030559815680.0,0.7862765883759006
