loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_macro_f1,eval_weighted_f1,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.3651556133490137,30.31491470336914,1.3337063980600634e-05,1.0,1787,,,,,,,,,,,,
,,,1.0,1787,0.19240672886371613,0.9618843683083512,0.9516494988703016,0.9618080879155327,7.2292,645.989,40.392,,,,,
0.12675364216279902,0.060208916664123535,6.670397313933969e-06,2.0,3574,,,,,,,,,,,,
,,,2.0,3574,0.1529492288827896,0.9685224839400428,0.9610761552157315,0.9684675506058555,7.213,647.445,40.483,,,,,
0.0777409430249283,36.819305419921875,3.730647267300877e-09,3.0,5361,,,,,,,,,,,,
,,,3.0,5361,0.1499500274658203,0.9693790149892934,0.9622183950425885,0.9693911597826874,7.3325,636.888,39.823,,,,,
,,,3.0,5361,,,,,,,,365.4626,234.664,14.669,1.1284157000742912e+16,0.189883399512247
