model_family,model_name,training_type,dataset,dataset_name,eval_split,sample_size,accuracy,macro_f1,weighted_f1,status,error_type,error_message,notes,prediction_path,classification_report_path,confusion_matrix_path,validation_macro_f1,max_features,ngram_range,min_df,C,alpha,class_weight,tokenizer
classical,logistic_regression,supervised,LEDGAR,LEDGAR,test,4732,0.9619611158072696,0.9501975972903178,0.9617877507306457,completed,,,"Selected on validation macro-F1. Config={'model_name': 'logistic_regression', 'validation_macro_f1': 0.9548499043054302, 'max_features': 30000, 'ngram_range': '(1, 2)', 'min_df': 1, 'C': 10.0, 'alpha': None, 'class_weight': None, 'tokenizer': 'legal_safe'}",/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/classical/predictions/logistic_regression_test_predictions.csv,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/classical/classification_reports/logistic_regression_report.json,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/classical/confusion_matrices/logistic_regression_confusion_matrix.png,0.9548499043054302,30000,"(1, 2)",1,10.0,,,legal_safe
classical,linear_svm,supervised,LEDGAR,LEDGAR,test,4732,0.9644970414201184,0.9533400080419325,0.9640520235931122,completed,,,"Selected on validation macro-F1. Config={'model_name': 'linear_svm', 'validation_macro_f1': 0.958559952566638, 'max_features': 30000, 'ngram_range': '(1, 2)', 'min_df': 1, 'C': 1.0, 'alpha': None, 'class_weight': None, 'tokenizer': 'legal_safe'}",/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/classical/predictions/linear_svm_test_predictions.csv,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/classical/classification_reports/linear_svm_report.json,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/classical/confusion_matrices/linear_svm_confusion_matrix.png,0.958559952566638,30000,"(1, 2)",1,1.0,,,legal_safe
classical,multinomial_nb,supervised,LEDGAR,LEDGAR,test,4732,0.9349112426035503,0.9157517771628019,0.9350085138625011,completed,,,"Selected on validation macro-F1. Config={'model_name': 'multinomial_nb', 'validation_macro_f1': 0.924376317086384, 'max_features': 30000, 'ngram_range': '(1, 2)', 'min_df': 1, 'C': None, 'alpha': 0.1, 'class_weight': None, 'tokenizer': 'legal_safe'}",/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/classical/predictions/multinomial_nb_test_predictions.csv,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/classical/classification_reports/multinomial_nb_report.json,/content/drive/MyDrive/Colab Notebooks/Education/NLP/Natural-Language-Processing/results/classical/confusion_matrices/multinomial_nb_confusion_matrix.png,0.924376317086384,30000,"(1, 2)",1,,0.1,,legal_safe
