loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_macro_f1,eval_weighted_f1,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.626118852629232,0.198594868183136,5.320732251823189e-06,1.0,3574,,,,,,,,,,,,
,,,1.0,3574,0.21871769428253174,0.9571734475374732,0.944757568262472,0.9567795561454786,8.3045,562.348,70.324,,,,,
0.16589903658038088,0.07253620028495789,1.488316713796696e-09,2.0,7148,,,,,,,,,,,,
,,,2.0,7148,0.1962404102087021,0.9603854389721628,0.9502130527975055,0.9602676271853463,8.2354,567.063,70.913,,,,,
,,,2.0,7148,,,,,,,,262.7412,217.606,27.205,7576122239262720.0,0.3960089446048064
