loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_macro_f1,eval_weighted_f1,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.4458191908466529,15.394639015197754,1.3337063980600634e-05,1.0,1787,,,,,,,,,,,,
,,,1.0,1787,0.2072460949420929,0.9571734475374732,0.9449765045002648,0.9569610931698208,4.3152,1082.215,67.667,,,,,
0.14199358615117427,0.09110641479492188,6.670397313933969e-06,2.0,3574,,,,,,,,,,,,
,,,2.0,3574,0.15791107714176178,0.9693790149892934,0.9619239869764027,0.9692239405062687,4.3752,1067.378,66.74,,,,,
0.09169561367963504,10.155073165893555,3.730647267300877e-09,3.0,5361,,,,,,,,,,,,
,,,3.0,5361,0.16398192942142487,0.9676659528907923,0.9596020265794252,0.9676029094438956,4.4159,1057.545,66.125,,,,,
,,,3.0,5361,,,,,,,,201.9602,424.643,26.545,5682091679447040.0,0.2265027968924874
